Title,OCID,Start date,End date,Organisation name,CPV code,Contract value,Cashable saving type (How did you make a saving?) - Choose one option,Baseline approach (How did you calculate the saving?),Baseline value (What would this have cost?),Add a budget / price benefit,Estimate of the price rise prevented,Add a performance / policy benefit
Air Quality Sensor Network Expansion,ocds-b5fd17-c1a2b3c4-8888-4000-a000-000000000008,01-Mar-26,31/12/2026,"Department for Environment, Food & Rural Affairs",90711500,"£198,750.00 ",(see column A rows 2-9),,,,,
Peatland Restoration Feasibility Study,ocds-b5fd17-c1a2b3c4-6666-4000-a000-000000000006,15-Feb-26,30/06/2026,"Department for Environment, Food & Rural Affairs",90712400,"£62,000.00 ",(see column A rows 2-9),,,,,
Pesticide Residue Surveillance,ocds-b5fd17-c1a2b3c4-4444-4000-a000-000000000004,01-Feb-26,31/07/2026,"Department for Environment, Food & Rural Affairs",73110000,"£175,000.00 ",(see column A rows 2-9),,,,,
RDE993 - Expansion of Nuclear Magnetic Resonance (NMR) honey database for authen,ocds-b5fd17-aad9d9e3-b86a-4ab7-8932-f7a5d43aba40,31-Jan-26,30/06/2026,"Department for Environment, Food & Rural Affairs",71900000,"£74,943.00 ",(see column A rows 2-9),,,,,
RDE997 - MMO1475 - Collection of social impact data relating to the Berried Lobs,ocds-b5fd17-add042c9-503e-4070-aa28-230b8f079c8f,30-Jan-26,31/03/2026,Marine Management Organisation,79315000,"£71,196.00 ",(see column A rows 2-9),,,,,
Transition and Migration Support,ocds-b5fd17-b2c53f5c-4789-4ac0-ae63-4613ac92f3f6,12-Jan-26,31/10/2026,"Department for Environment, Food & Rural Affairs",72222300,"£1,000,000.00 ",(see column A rows 2-9),,,,,
IR35 Project,ocds-b5fd17-d3859370-1586-4b97-81e3-af2523769790,05-Jan-26,31/03/2026,"Department for Environment, Food & Rural Affairs",79000000,"£350,000.00 ",(see column A rows 2-9),,,,,
Biodiversity Net Gain Monitoring,ocds-b5fd17-c1a2b3c4-2222-4000-a000-000000000002,01-Dec-25,31/05/2026,"Department for Environment, Food & Rural Affairs",90712000,"£89,500.00 ",(see column A rows 2-9),,,,,
Flood Risk Mapping Phase 2,ocds-b5fd17-c1a2b3c4-1111-4000-a000-000000000001,01-Nov-25,30/04/2026,Environment Agency,71354100,"£245,000.00 ",(see column A rows 2-9),,,,,
Water Quality Laboratory Services,ocds-b5fd17-c1a2b3c4-3333-4000-a000-000000000003,15-Oct-25,30/09/2026,"Department for Environment, Food & Rural Affairs",71900000,"£520,000.00 ",(see column A rows 2-9),,,,,
